batch,episode_len,kl,lr_multiplier,loss,entropy,explained_var_old,explained_var_new
373,8,0.02161,0.296,2.131,1.6428,0.443,0.518
374,7,0.03966,0.296,2.1568,1.7172,0.467,0.528
375,17,0.04414,0.198,2.0756,1.5958,0.497,0.571
376,7,0.0344,0.198,2.1668,1.7057,0.436,0.489
377,9,0.01291,0.198,2.099,1.6275,0.473,0.523
378,9,0.01448,0.198,2.0387,1.632,0.534,0.565
379,7,0.01207,0.198,2.0811,1.657,0.5,0.544
380,7,0.02094,0.198,2.0393,1.635,0.536,0.592
381,14,0.01203,0.198,2.1753,1.6354,0.402,0.457
382,7,0.00705,0.296,2.0363,1.6148,0.497,0.531
383,10,0.01095,0.296,2.0748,1.6009,0.467,0.529
384,10,0.01644,0.296,2.0161,1.5764,0.511,0.563
385,15,0.0108,0.296,2.1313,1.6025,0.445,0.505
386,9,0.02232,0.296,2.0644,1.57,0.462,0.538
387,15,0.01222,0.296,2.0913,1.6443,0.486,0.564
388,7,0.01502,0.296,2.2503,1.6954,0.38,0.447
389,15,0.00984,0.444,2.1278,1.6847,0.429,0.492
390,15,0.02394,0.444,2.0413,1.5995,0.43,0.528
391,8,0.02823,0.444,2.0825,1.6257,0.477,0.562
392,10,0.02532,0.444,2.0616,1.6374,0.473,0.566
393,16,0.04024,0.296,2.095,1.6535,0.502,0.589
394,13,0.02871,0.296,2.1208,1.6272,0.429,0.519
395,12,0.01853,0.296,2.1234,1.6519,0.473,0.529
396,8,0.01291,0.296,2.1281,1.664,0.474,0.549
397,8,0.01482,0.296,2.0867,1.6536,0.472,0.54
398,16,0.01329,0.296,2.1762,1.6509,0.374,0.491
399,9,0.01155,0.296,2.1563,1.6262,0.416,0.481
400,7,0.01253,0.296,2.0981,1.6069,0.377,0.485
401,7,0.0137,0.296,2.0785,1.6127,0.476,0.536
402,8,0.01436,0.296,2.1628,1.6586,0.44,0.515
403,11,0.01788,0.296,2.0612,1.6352,0.477,0.552
404,8,0.01084,0.296,2.1568,1.7119,0.458,0.532
405,14,0.01661,0.296,2.1636,1.6446,0.405,0.473
406,7,0.01709,0.296,2.0885,1.6405,0.452,0.536
407,10,0.01458,0.296,2.1287,1.6037,0.466,0.523
408,10,0.02064,0.296,2.1496,1.6528,0.434,0.514
409,13,0.02556,0.296,2.0581,1.6333,0.474,0.546
410,7,0.02039,0.296,2.1295,1.6524,0.451,0.551
411,9,0.01695,0.296,2.1214,1.6558,0.432,0.506
412,9,0.01557,0.296,2.1197,1.6506,0.427,0.511
413,15,0.01188,0.296,2.1612,1.6732,0.389,0.492
414,7,0.01297,0.296,2.1793,1.6152,0.418,0.479
415,7,0.01094,0.296,2.1333,1.6357,0.403,0.506
416,7,0.01332,0.296,2.1179,1.6021,0.409,0.487
417,9,0.0102,0.296,2.1816,1.7,0.43,0.53
418,11,0.01263,0.296,2.1318,1.6642,0.432,0.505
419,7,0.01203,0.296,2.0965,1.621,0.401,0.498
420,7,0.01419,0.296,2.2167,1.701,0.404,0.494
421,7,0.0142,0.296,2.1263,1.6685,0.451,0.549
422,8,0.01084,0.296,2.1824,1.6918,0.42,0.485
423,9,0.01716,0.296,2.0523,1.6358,0.52,0.577
424,9,0.01825,0.296,2.0323,1.6007,0.5,0.574
425,11,0.01555,0.296,2.0839,1.6437,0.488,0.553
426,7,0.02092,0.296,2.08,1.5682,0.436,0.506
427,10,0.02641,0.296,2.0372,1.6227,0.491,0.562
428,7,0.03401,0.296,2.1072,1.5852,0.439,0.525
429,11,0.03369,0.296,2.0961,1.6405,0.467,0.545
430,14,0.02351,0.296,2.0857,1.5717,0.433,0.511
431,8,0.02647,0.296,2.0994,1.6129,0.425,0.499
432,17,0.02393,0.296,2.1685,1.6127,0.397,0.469
433,8,0.01346,0.296,2.0835,1.6228,0.417,0.51
434,13,0.01588,0.296,2.1828,1.6493,0.362,0.444
435,7,0.0112,0.296,2.186,1.6537,0.4,0.483
436,10,0.01088,0.296,2.0381,1.6653,0.508,0.586
437,16,0.01913,0.296,2.1925,1.6128,0.342,0.428
438,11,0.01643,0.296,2.0803,1.6149,0.447,0.557
439,11,0.02244,0.296,2.0939,1.6945,0.464,0.528
440,9,0.01383,0.296,2.0918,1.6383,0.468,0.526
441,7,0.01981,0.296,2.0283,1.5512,0.457,0.548
442,10,0.01971,0.296,2.058,1.5802,0.494,0.56
443,7,0.01346,0.296,2.0378,1.5725,0.458,0.533
444,8,0.01733,0.296,2.1517,1.6026,0.371,0.445
445,7,0.00907,0.444,2.1361,1.6709,0.427,0.491
446,8,0.02593,0.444,2.0742,1.6776,0.47,0.563
447,7,0.02899,0.444,2.1475,1.6538,0.432,0.538
448,9,0.02707,0.444,2.1266,1.599,0.417,0.511
